"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","18799","Global Navigation - Validate page URL after clicking each link","chromium","Tue Apr 01 06:37:20 UTC 2025","passed","Tue Apr 01 06:37:39 UTC 2025","Global Navigation - Test Suite","sportsbeach-globalNavigation.test.ts","",""
"","24714","Partner Card - Partners List Validation","chromium","Tue Apr 01 06:36:55 UTC 2025","broken","Tue Apr 01 06:37:19 UTC 2025","Partner Card Test Suite","sportsbeach-PartnerCard.test.ts","",""
"","24482","Global Navigation - Validate links are underlined on hover","chromium","Tue Apr 01 06:36:55 UTC 2025","broken","Tue Apr 01 06:37:19 UTC 2025","Global Navigation - Test Suite","sportsbeach-globalNavigation.test.ts","",""
"","13203","Partner Card - Validate Partner Links and Check API Status","chromium","Tue Apr 01 06:37:21 UTC 2025","failed","Tue Apr 01 06:37:34 UTC 2025","Partner Card Test Suite","sportsbeach-PartnerCard.test.ts","",""
